timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1750319334555,83,DealsPage,403,Forbidden,Thread Group 1-11,text,false,,1924,526,10,10,https://www.etsy.com/uk/featured/hub/sales?ref=DEALS25_cat_nav,83,0,0
1750319332729,2086,RegisterPage,200,OK,Thread Group 1-13,text,false,"The operation lasted too long: It took 2,086 milliseconds, but should not have lasted longer than 2,000 milliseconds.",209202,159,10,10,https://www.etsy.com/uk/registry?ref=contentful_promo_cat_nav-7,1427,0,156
1750319332148,2693,RegisterPage,200,OK,Thread Group 1-12,text,false,"The operation lasted too long: It took 2,693 milliseconds, but should not have lasted longer than 2,000 milliseconds.",209304,159,10,10,https://www.etsy.com/uk/registry?ref=contentful_promo_cat_nav-7,1032,0,493
1750319332662,2218,CardsPage,200,OK,Thread Group 1-4,text,false,"The operation lasted too long: It took 2,218 milliseconds, but should not have lasted longer than 2,000 milliseconds.",184475,667,10,10,https://www.etsy.com/uk/giftcards?ref=contentful_promo_cat_nav-8,889,0,0
1750319334818,66,DealsPage,403,Forbidden,Thread Group 1-13,text,false,,1922,524,9,9,https://www.etsy.com/uk/featured/hub/sales?ref=DEALS25_cat_nav,66,0,0
1750319334845,45,DealsPage,403,Forbidden,Thread Group 1-12,text,false,,1923,526,9,9,https://www.etsy.com/uk/featured/hub/sales?ref=DEALS25_cat_nav,45,0,0
1750319332631,2294,CardsPage,200,OK,Thread Group 1-6,text,false,"The operation lasted too long: It took 2,294 milliseconds, but should not have lasted longer than 2,000 milliseconds.",184464,665,9,9,https://www.etsy.com/uk/giftcards?ref=contentful_promo_cat_nav-8,432,0,0
1750319332739,2250,CardsPage,200,OK,Thread Group 1-10,text,false,"The operation lasted too long: It took 2,250 milliseconds, but should not have lasted longer than 2,000 milliseconds.",184582,663,8,8,https://www.etsy.com/uk/giftcards?ref=contentful_promo_cat_nav-8,1804,0,0
1750319332636,2599,CardsPage,200,OK,Thread Group 1-9,text,false,"The operation lasted too long: It took 2,599 milliseconds, but should not have lasted longer than 2,000 milliseconds.",184826,667,7,7,https://www.etsy.com/uk/giftcards?ref=contentful_promo_cat_nav-8,1880,0,0
1750319333329,2069,RegisterPage,200,OK,Thread Group 1-14,text,false,"The operation lasted too long: It took 2,069 milliseconds, but should not have lasted longer than 2,000 milliseconds.",209333,159,6,6,https://www.etsy.com/uk/registry?ref=contentful_promo_cat_nav-7,1795,0,1337
1750319333916,1530,RegisterPage,200,OK,Thread Group 1-15,text,true,,209289,159,6,6,https://www.etsy.com/uk/registry?ref=contentful_promo_cat_nav-7,1159,0,726
1750319335402,227,DealsPage,403,Forbidden,Thread Group 1-14,text,false,,1918,522,6,6,https://www.etsy.com/uk/featured/hub/sales?ref=DEALS25_cat_nav,227,0,0
1750319335449,189,DealsPage,403,Forbidden,Thread Group 1-15,text,false,,1921,524,6,6,https://www.etsy.com/uk/featured/hub/sales?ref=DEALS25_cat_nav,188,0,0
1750319334886,878,CardsPage,200,OK,Thread Group 1-13,text,true,,184917,665,6,6,https://www.etsy.com/uk/giftcards?ref=contentful_promo_cat_nav-8,458,0,0
1750319334640,1126,CardsPage,200,OK,Thread Group 1-11,text,true,,184519,667,6,6,https://www.etsy.com/uk/giftcards?ref=contentful_promo_cat_nav-8,555,0,0
1750319334893,952,CardsPage,200,OK,Thread Group 1-12,text,true,,184816,667,4,4,https://www.etsy.com/uk/giftcards?ref=contentful_promo_cat_nav-8,456,0,0
1750319332599,3832,CardsPage,200,OK,Thread Group 1-3,text,false,"The operation lasted too long: It took 3,832 milliseconds, but should not have lasted longer than 2,000 milliseconds.",184343,663,3,3,https://www.etsy.com/uk/giftcards?ref=contentful_promo_cat_nav-8,452,0,0
1750319335635,805,CardsPage,200,OK,Thread Group 1-14,text,true,,184701,663,2,2,https://www.etsy.com/uk/giftcards?ref=contentful_promo_cat_nav-8,414,0,0
1750319335649,879,CardsPage,200,OK,Thread Group 1-15,text,true,,184846,665,1,1,https://www.etsy.com/uk/giftcards?ref=contentful_promo_cat_nav-8,410,0,0
